-40.0,NaN
-39.9,NaN
-39.8,NaN
-39.7,NaN
-39.6,NaN
-39.5,NaN
-39.4,NaN
-39.3,NaN
-39.2,NaN
-39.1,NaN
-39.0,NaN
-38.9,NaN
-38.8,NaN
-38.7,NaN
-38.6,NaN
-38.5,NaN
-38.4,NaN
-38.3,NaN
-38.2,NaN
-38.1,NaN
-38.0,NaN
-37.9,NaN
-37.8,NaN
-37.7,NaN
-37.6,NaN
-37.5,NaN
-37.4,NaN
-37.3,NaN
-37.2,NaN
-37.1,NaN
-37.0,NaN
-36.9,NaN
-36.8,NaN
-36.7,NaN
-36.6,NaN
-36.5,NaN
-36.4,NaN
-36.3,NaN
-36.2,NaN
-36.1,NaN
-36.0,NaN
-35.9,NaN
-35.8,NaN
-35.7,NaN
-35.6,NaN
-35.5,NaN
-35.4,NaN
-35.3,NaN
-35.2,NaN
-35.1,NaN
-35.0,NaN
-34.9,NaN
-34.8,NaN
-34.7,NaN
-34.6,NaN
-34.5,NaN
-34.4,NaN
-34.3,NaN
-34.2,NaN
-34.1,NaN
-34.0,NaN
-33.9,NaN
-33.8,NaN
-33.7,NaN
-33.6,NaN
-33.5,NaN
-33.4,NaN
-33.3,NaN
-33.2,NaN
-33.1,NaN
-33.0,NaN
-32.9,NaN
-32.8,NaN
-32.7,NaN
-32.6,NaN
-32.5,NaN
-32.4,NaN
-32.3,NaN
-32.2,NaN
-32.1,NaN
-32.0,NaN
-31.9,NaN
-31.8,NaN
-31.7,NaN
-31.6,NaN
-31.5,NaN
-31.4,NaN
-31.3,NaN
-31.2,NaN
-31.1,NaN
-31.0,NaN
-30.9,NaN
-30.8,NaN
-30.7,NaN
-30.6,NaN
-30.5,NaN
-30.4,NaN
-30.3,NaN
-30.2,NaN
-30.1,NaN
-30.0,NaN
-29.9,NaN
-29.8,NaN
-29.7,NaN
-29.6,NaN
-29.5,NaN
-29.4,NaN
-29.3,NaN
-29.2,NaN
-29.1,NaN
-29.0,NaN
-28.9,NaN
-28.8,NaN
-28.7,NaN
-28.6,NaN
-28.5,NaN
-28.4,NaN
-28.3,NaN
-28.2,NaN
-28.1,NaN
-28.0,NaN
-27.9,NaN
-27.8,NaN
-27.7,NaN
-27.6,NaN
-27.5,NaN
-27.4,NaN
-27.3,NaN
-27.2,NaN
-27.1,NaN
-27.0,NaN
-26.9,NaN
-26.8,NaN
-26.7,NaN
-26.6,NaN
-26.5,NaN
-26.4,NaN
-26.3,NaN
-26.2,NaN
-26.1,NaN
-26.0,NaN
-25.9,NaN
-25.8,NaN
-25.7,NaN
-25.6,NaN
-25.5,NaN
-25.4,NaN
-25.3,NaN
-25.2,NaN
-25.1,NaN
-25.0,NaN
-24.9,NaN
-24.8,NaN
-24.7,NaN
-24.6,NaN
-24.5,NaN
-24.4,NaN
-24.3,NaN
-24.2,NaN
-24.1,NaN
-24.0,NaN
-23.9,NaN
-23.8,NaN
-23.7,NaN
-23.6,NaN
-23.5,NaN
-23.4,NaN
-23.3,NaN
-23.2,NaN
-23.1,NaN
-23.0,NaN
-22.9,NaN
-22.8,NaN
-22.7,NaN
-22.6,NaN
-22.5,NaN
-22.4,NaN
-22.3,NaN
-22.2,NaN
-22.1,NaN
-22.0,NaN
-21.9,NaN
-21.8,NaN
-21.7,NaN
-21.6,NaN
-21.5,NaN
-21.4,NaN
-21.3,NaN
-21.2,NaN
-21.1,NaN
